iter	Passed	Remaining
0	155	77649
1	166	41448
2	177	29449
3	188	23314
4	198	19669
5	210	17344
6	220	15520
7	231	14220
8	240	13146
9	251	12321
10	261	11642
11	272	11090
12	282	10597
13	292	10142
14	301	9763
15	311	9424
16	321	9133
17	331	8878
18	342	8674
19	352	8469
20	363	8301
21	375	8148
22	386	8006
23	395	7847
24	405	7696
25	414	7562
26	424	7440
27	434	7327
28	445	7228
29	455	7135
30	466	7065
31	477	6985
32	488	6914
33	499	6845
34	508	6762
35	519	6693
36	529	6630
37	539	6564
38	549	6493
39	558	6426
40	569	6370
41	578	6309
42	587	6246
43	596	6182
44	606	6136
45	616	6085
46	626	6036
47	637	6001
48	646	5946
49	655	5898
50	665	5860
51	676	5828
52	685	5780
53	694	5738
54	704	5702
55	714	5666
56	723	5625
57	733	5591
58	743	5558
59	753	5522
60	762	5487
61	772	5456
62	782	5428
63	791	5393
64	801	5364
65	811	5333
66	820	5303
67	829	5270
68	840	5249
69	851	5232
70	863	5215
71	874	5196
72	884	5172
73	895	5154
74	906	5134
75	917	5118
76	929	5104
77	940	5090
78	952	5075
79	962	5053
80	973	5036
81	984	5016
82	994	4998
83	1005	4977
84	1015	4959
85	1026	4940
86	1037	4924
87	1047	4906
88	1059	4891
89	1069	4872
90	1079	4853
91	1090	4835
92	1100	4817
93	1111	4801
94	1122	4784
95	1133	4771
96	1144	4756
97	1156	4742
98	1168	4731
99	1178	4713
100	1188	4694
101	1198	4677
102	1209	4661
103	1220	4649
104	1233	4640
105	1245	4629
106	1257	4618
107	1272	4618
108	1284	4608
109	1296	4598
110	1309	4587
111	1321	4578
112	1332	4565
113	1346	4558
114	1356	4540
115	1366	4523
116	1376	4507
117	1387	4492
118	1399	4479
119	1409	4462
120	1419	4446
121	1429	4430
122	1440	4415
123	1451	4402
124	1463	4391
125	1473	4374
126	1484	4359
127	1494	4344
128	1506	4331
129	1516	4317
130	1528	4306
131	1539	4291
132	1550	4278
133	1561	4264
134	1572	4252
135	1584	4240
136	1595	4228
137	1608	4219
138	1623	4217
139	1637	4211
140	1652	4208
141	1667	4203
142	1680	4195
143	1691	4182
144	1704	4172
145	1718	4167
146	1732	4161
147	1746	4154
148	1763	4153
149	1775	4143
150	1788	4134
151	1800	4122
152	1811	4109
153	1824	4098
154	1835	4085
155	1845	4070
156	1857	4058
157	1868	4043
158	1880	4032
159	1892	4020
160	1903	4008
161	1914	3994
162	1925	3980
163	1935	3965
164	1946	3952
165	1957	3938
166	1968	3925
167	1979	3911
168	1991	3900
169	2004	3890
170	2015	3877
171	2027	3866
172	2038	3853
173	2050	3842
174	2061	3829
175	2072	3815
176	2083	3801
177	2093	3787
178	2103	3772
179	2115	3760
180	2128	3751
181	2139	3739
182	2150	3724
183	2161	3711
184	2172	3698
185	2182	3683
186	2191	3668
187	2201	3653
188	2211	3639
189	2221	3624
190	2231	3610
191	2242	3597
192	2252	3583
193	2261	3567
194	2271	3553
195	2282	3539
196	2292	3525
197	2301	3510
198	2311	3496
199	2322	3483
200	2331	3468
201	2342	3455
202	2352	3441
203	2362	3427
204	2372	3414
205	2382	3400
206	2392	3386
207	2401	3371
208	2411	3358
209	2421	3343
210	2431	3330
211	2441	3316
212	2450	3301
213	2459	3287
214	2468	3272
215	2478	3258
216	2487	3244
217	2496	3229
218	2505	3215
219	2515	3201
220	2524	3187
221	2534	3173
222	2543	3159
223	2552	3145
224	2560	3130
225	2570	3116
226	2578	3101
227	2588	3087
228	2597	3074
229	2607	3060
230	2616	3047
231	2626	3034
232	2636	3021
233	2645	3007
234	2654	2993
235	2663	2979
236	2671	2964
237	2680	2951
238	2690	2938
239	2699	2924
240	2708	2910
241	2716	2896
242	2725	2882
243	2734	2868
244	2743	2855
245	2753	2842
246	2762	2829
247	2772	2817
248	2781	2803
249	2790	2790
250	2799	2777
251	2808	2764
252	2818	2752
253	2828	2739
254	2838	2726
255	2847	2713
256	2857	2701
257	2865	2687
258	2874	2674
259	2882	2660
260	2892	2648
261	2901	2635
262	2910	2622
263	2919	2609
264	2929	2597
265	2939	2586
266	2949	2573
267	2958	2560
268	2967	2548
269	2976	2535
270	2983	2521
271	2992	2508
272	3001	2495
273	3011	2483
274	3020	2471
275	3029	2458
276	3038	2446
277	3048	2434
278	3058	2422
279	3068	2410
280	3077	2398
281	3088	2387
282	3098	2376
283	3107	2363
284	3116	2350
285	3126	2339
286	3134	2326
287	3143	2314
288	3152	2301
289	3161	2289
290	3170	2277
291	3180	2265
292	3190	2253
293	3199	2241
294	3209	2230
295	3218	2218
296	3227	2205
297	3236	2193
298	3244	2181
299	3253	2169
300	3263	2157
301	3271	2145
302	3280	2132
303	3290	2121
304	3299	2109
305	3308	2097
306	3317	2085
307	3327	2074
308	3335	2062
309	3344	2050
310	3353	2037
311	3362	2025
312	3370	2013
313	3380	2002
314	3389	1990
315	3397	1978
316	3406	1966
317	3415	1954
318	3424	1943
319	3433	1931
320	3442	1919
321	3450	1907
322	3459	1895
323	3469	1884
324	3479	1873
325	3488	1861
326	3497	1850
327	3507	1839
328	3516	1827
329	3525	1816
330	3535	1804
331	3543	1793
332	3552	1781
333	3563	1770
334	3573	1760
335	3582	1748
336	3591	1737
337	3601	1726
338	3610	1714
339	3621	1704
340	3630	1692
341	3638	1681
342	3648	1669
343	3657	1658
344	3667	1647
345	3677	1636
346	3687	1625
347	3696	1614
348	3708	1604
349	3719	1594
350	3729	1583
351	3739	1572
352	3749	1561
353	3759	1550
354	3770	1540
355	3780	1529
356	3790	1518
357	3800	1507
358	3811	1496
359	3821	1486
360	3832	1475
361	3844	1465
362	3854	1454
363	3864	1443
364	3874	1433
365	3884	1422
366	3895	1411
367	3905	1400
368	3915	1390
369	3925	1379
370	3936	1368
371	3946	1357
372	3956	1346
373	3966	1336
374	3976	1325
375	3987	1315
376	3997	1304
377	4006	1293
378	4016	1282
379	4027	1271
380	4037	1261
381	4047	1250
382	4059	1239
383	4069	1229
384	4080	1218
385	4089	1207
386	4099	1196
387	4109	1186
388	4119	1175
389	4129	1164
390	4140	1154
391	4149	1143
392	4158	1132
393	4167	1121
394	4177	1110
395	4187	1099
396	4196	1088
397	4205	1077
398	4214	1066
399	4225	1056
400	4235	1045
401	4244	1034
402	4253	1023
403	4263	1013
404	4272	1002
405	4281	991
406	4289	980
407	4298	969
408	4307	958
409	4317	947
410	4327	937
411	4337	926
412	4346	915
413	4358	905
414	4368	894
415	4377	884
416	4387	873
417	4395	862
418	4405	851
419	4415	841
420	4425	830
421	4436	819
422	4445	809
423	4455	798
424	4464	787
425	4473	777
426	4483	766
427	4493	755
428	4503	745
429	4511	734
430	4521	723
431	4531	713
432	4540	702
433	4550	692
434	4561	681
435	4569	670
436	4579	660
437	4588	649
438	4598	638
439	4607	628
440	4616	617
441	4625	607
442	4635	596
443	4645	585
444	4654	575
445	4664	564
446	4675	554
447	4684	543
448	4693	533
449	4703	522
450	4713	512
451	4723	501
452	4732	490
453	4742	480
454	4752	469
455	4762	459
456	4773	449
457	4782	438
458	4792	428
459	4801	417
460	4810	407
461	4820	396
462	4829	385
463	4838	375
464	4848	364
465	4858	354
466	4866	343
467	4876	333
468	4886	322
469	4895	312
470	4904	301
471	4914	291
472	4923	281
473	4931	270
474	4940	260
475	4950	249
476	4959	239
477	4968	228
478	4978	218
479	4988	207
480	4997	197
481	5006	186
482	5016	176
483	5025	166
484	5035	155
485	5044	145
486	5053	134
487	5062	124
488	5072	114
489	5082	103
490	5091	93
491	5100	82
492	5110	72
493	5119	62
494	5128	51
495	5138	41
496	5147	31
497	5156	20
498	5165	10
499	5174	0
